Lambda:10, processor number:4, step:0.05, utilization range:[0-4] period range:[100-200]
Utilization,P_EDF_ratio,G_EDF_ratio
0,1,1
0.05,1,1
0.1,1,1
0.15,1,1
0.2,1,1
0.25,1,1
0.3,1,1
0.35,1,1
0.4,1,1
0.45,1,1
0.5,1,1
0.55,1,1
0.6,1,1
0.65,1,1
0.7,1,1
0.75,1,1
0.8,1,1
0.85,1,1
0.9,1,1
0.95,1,1
1,1,1
1.05,1,1
1.1,1,1
1.15,1,1
1.2,0.999,1
1.25,1,1
1.3,1,0.999
1.35,1,0.997
1.4,1,0.997
1.45,0.998,0.995
1.5,0.998,0.993
1.55,0.997,0.993
1.6,0.999,0.99
1.65,0.996,0.99
1.7,0.997,0.984
1.75,0.988,0.979
1.8,0.993,0.964
1.85,0.99,0.955
1.9,0.988,0.935
1.95,0.987,0.917
2,0.989,0.868
2.05,0.979,0.818
2.1,0.966,0.779
2.15,0.971,0.727
2.2,0.962,0.591
2.25,0.964,0.463
2.3,0.945,0.342
2.35,0.937,0.237
2.4,0.906,0.129
2.45,0.89,0.06
2.5,0.866,0.011
2.55,0.829,0
2.6,0.824,0
2.65,0.754,0
2.7,0.695,0
2.75,0.647,0
2.8,0.617,0
2.85,0.527,0
2.9,0.473,0
2.95,0.422,0
3,0.35,0
3.05,0.247,0
3.1,0.192,0
3.15,0.124,0
3.2,0.069,0
3.25,0.035,0
3.3,0.014,0
3.35,0.008,0
3.4,0,0
3.45,0,0
3.5,0,0
3.55,0,0
3.6,0,0
3.65,0,0
3.7,0,0
3.75,0,0
3.8,0,0
3.85,0,0
3.9,0,0
3.95,0,0
4,0,0
