Lambda:10, processor number:4, step:0.1, utilization range:[0-4], period range:[1e+05-1e+06]
Utilization,WF-DM-normal ratio,WF-DM-spinlock ratio,WF-DM-semephore ratio,
0,1,1,1,
0.1,1,1,1,
0.2,1,1,1,
0.3,1,1,1,
0.4,1,1,1,
0.5,1,1,1,
0.6,1,1,1,
0.7,1,1,1,
0.8,1,1,1,
0.9,1,1,1,
1,1,1,1,
1.1,1,1,1,
1.2,1,1,1,
1.3,1,1,1,
1.4,1,1,1,
1.5,1,1,1,
1.6,1,1,1,
1.7,1,1,1,
1.8,1,1,1,
1.9,1,1,1,
2,1,1,0.99,
2.1,1,1,1,
2.2,0.98,0.98,0.98,
2.3,0.98,0.96,0.98,
2.4,0.97,0.91,0.91,
2.5,0.96,0.89,0.89,
2.6,0.93,0.79,0.79,
2.7,0.85,0.67,0.61,
2.8,0.8,0.5,0.49,
2.9,0.71,0.38,0.18,
3,0.62,0.22,0.09,
3.1,0.49,0.07,0.02,
3.2,0.28,0.04,0.01,
3.3,0.13,0,0,
3.4,0,0,0,
3.5,0,0,0,
3.6,0,0,0,
3.7,0,0,0,
3.8,0,0,0,
3.9,0,0,0,
4,0,0,0,
