Lambda:10, processor number:4, step:0.1, utilization range:[0-4], period range:[1e+05-1e+06]
Utilization,WF-DM-normal ratio,WF-DM-spinlock ratio,WF-DM-semephore ratio,
0,1,1,1,
0.1,1,1,1,
0.2,1,1,1,
0.3,1,1,1,
0.4,1,1,1,
0.5,1,1,1,
0.6,1,1,1,
0.7,1,1,1,
0.8,1,1,1,
0.9,1,1,1,
1,0.999,0.999,0.999,
1.1,1,1,1,
1.2,0.997,0.997,0.997,
1.3,0.996,0.994,0.996,
1.4,0.993,0.989,0.991,
1.5,0.989,0.988,0.988,
1.6,0.99,0.987,0.987,
1.7,0.984,0.981,0.974,
1.8,0.971,0.964,0.959,
1.9,0.964,0.955,0.938,
2,0.943,0.934,0.908,
2.1,0.926,0.907,0.855,
2.2,0.903,0.863,0.777,
2.3,0.877,0.826,0.67,
2.4,0.846,0.753,0.544,
2.5,0.796,0.652,0.355,
2.6,0.714,0.499,0.188,
2.7,0.636,0.365,0.068,
2.8,0.535,0.227,0.028,
2.9,0.377,0.1,0.002,
3,0.244,0.043,0.002,
3.1,0.123,0.015,0,
3.2,0.046,0.002,0,
3.3,0.009,0,0,
3.4,0,0,0,
3.5,0,0,0,
3.6,0,0,0,
3.7,0,0,0,
3.8,0,0,0,
3.9,0,0,0,
4,0,0,0,
